sample_type,antibiotic,group_of_antibiotic,records,provinces,median_conc,p90_conc,max_conc,prevalence_score
soil,Sulfamethizole,sulfonamides,4,4,0.55,0.55,0.55,-0.097539470425114
soil,Lincomycin,other,3,3,6.4,75.12,92.3,-0.166510055995287
soil,Fleroxacin,fluoroquinolones,3,3,6.02,66.22640000000001,81.278,-0.17008026278176627
soil,Sulfisoxazole,sulfonamides,3,3,1.42333333333333,2.0846666666666662,2.25,-0.2421131218393736
soil,Sulfapyridine,sulfonamides,3,3,1.25,2.33,2.6,-0.24713919805018755
soil,Flumequine,fluoroquinolones,4,2,0.05066666666666665,0.5054000000000001,0.682,-0.27878399295899775
soil,Sulfamethizol,sulfonamides,5,1,0.014,0.022946341463414642,0.028,-0.316586145132702
soil,Sulfamethoxydiazine,sulfonamides,2,2,8.389999999999999,15.038,16.7,-0.3757870227540857
soil,Perfloxacin,fluoroquinolones,4,1,0.1419268292682925,0.3153560975609755,0.358,-0.3961030932060833
soil,Sulfadoxine,sulfonamides,2,2,5.15,5.15,5.15,-0.4044474836751879
soil,Cephalexin,beta-lactams,2,2,2.9214285714285713,4.792285714285714,5.26,-0.4349231487578054
soil,Pefloxacin,fluoroquinolones,2,1,20.45,28.89,31.0,-0.4428013853334574
soil,Sulfamethoxypyridazine,sulfonamides,2,2,0.592,0.7184,0.75,-0.4959742236434168
soil,Sarafloxacin,other,2,2,0.22,0.22,0.22,-0.5139983823917715
soil,Spiramycin,other,2,2,0.02,0.02,0.02,-0.5261242972273112
soil,Sulfapyridine,other,2,2,0.01,0.01,0.01,-0.5267915370354659
soil,Epianhydrotetracycline,tetracyclines,2,1,3.45,3.45,3.45,-0.5493195445846979
soil,Sulfadimethoxypyrimidine,sulfonamides,2,1,3.18,5.428000000000001,5.99,-0.5535586010552592
soil,Sulfamethoxazol,sulfonamides,2,1,1.5,1.6199999999999999,1.65,-0.5883702768482915
soil,Isochlortetracycline,tetracyclines,2,1,0.84,0.84,0.84,-0.6091294765237164
soil,Sulfadimethazine,sulfonamides,2,1,0.3,0.3,0.3,-0.6326569843365908
soil,Epitetracycline,tetracyclines,2,1,0.21,0.21,0.21,-0.6375157895492815
soil,Spiramycin,macrolides,2,1,0.13907317073170725,0.23639999999999986,0.260731707317073,-0.6416067049782941
soil,Sulfachinoxalin,sulfonamides,2,1,0.015,0.019,0.02,-0.6494170978290172
soil,SPiramycin,macrolides,2,1,0.004,0.0048000000000000004,0.005,-0.6501550617626077
soil,Gatifloxacin,fluoroquinolones,1,1,16.038,16.038,16.038,-0.6531295103478014
